Day2	Mulch2	Temp	StemHeight	Humidity
20	No	29.33	4.18	8.69
40	No	27.7	11.74	9.73
60	No	27.77	25.88	5.04
80	No	28.87	31	14.32
100	No	27.47	42.78	15.89
120	No	26.7	44.78	6.3
20	CK	31.2	4.71	9.25
40	CK	29.87	12.05	10.82
60	CK	30.07	30.08	5.87
80	CK	31.37	39.03	13.13
100	CK	29.47	50.13	15.04
120	CK	28.5	52.2	9.07
20	Q1	31	4.22	9.26
40	Q1	29.8	11.25	10.69
60	Q1	28.93	26.32	5.51
80	Q1	30.67	33.64	13.69
100	Q1	28.4	45.58	15.61
120	Q1	27.83	48.83	7.44
20	Q2	30.47	3.39	9.33
40	Q2	29.13	8.97	10.25
60	Q2	29	24.77	5.26
80	Q2	30.23	33.15	14.22
100	Q2	28.33	43.33	15.79
120	Q2	27.53	47	6.61
20	Q3	31.83	4.72	9.34
40	Q3	30.37	12.26	10.71
60	Q3	29.63	30.75	5.81
80	Q3	30.9	39.4	13.67
100	Q3	29.33	51.4	15.16
120	Q3	28.1	53.75	8.21
20	Q4	31.6	3.62	9.46
40	Q4	30.03	11.96	10.69
60	Q4	29.3	29.18	5.41
80	Q4	30.87	35.12	14.13
100	Q4	29.07	48.43	15.59
120	Q4	27.9	50.2	6.87
