Day	Mulch	DD
10	CK	0
20	CK	0
30	CK	0
40	CK	0
50	CK	0
60	CK	0
70	CK	0
80	CK	0
90	CK	0
100	CK	0
110	CK	1
120	CK	1
10	Q1	0
20	Q1	0
30	Q1	0
40	Q1	0
50	Q1	0
60	Q1	0
70	Q1	1
80	Q1	1
90	Q1	2
100	Q1	2
110	Q1	3
120	Q1	4
10	Q2	0
20	Q2	0
30	Q2	1
40	Q2	1
50	Q2	2
60	Q2	2
70	Q2	3
80	Q2	3
90	Q2	3
100	Q2	4
110	Q2	5
120	Q2	5
10	Q3	0
20	Q3	0
30	Q3	0
40	Q3	0
50	Q3	0
60	Q3	0
70	Q3	1
80	Q3	1
90	Q3	2
100	Q3	2
110	Q3	3
120	Q3	4
10	Q4	0
20	Q4	0
30	Q4	0
40	Q4	0
50	Q4	1
60	Q4	1
70	Q4	2
80	Q4	2
90	Q4	3
100	Q4	4
110	Q4	4
120	Q4	5
