No	CK	Q1	Q2	Q3	Q4
27.79897765	29.76927929	28.54817644	28.61926399	29.52474904	29.94430091
26.99708205	30.83977982	29.62817946	28.41556443	30.50797487	29.8589271
28.6661104	30.53598025	28.84952522	28.30930011	29.26113283	29.50314305
28.24494596	30.49726721	28.45519148	28.92398188	29.16078614	29.99714272
28.3794642	29.66366505	28.72832484	28.90988316	29.32523615	28.41248943
28.1418533	29.65711288	29.12308036	28.8250024	29.81496489	29.75976867
28.16548521	30.74916982	28.80476996	29.45522197	30.55958319	29.76011188
27.47191657	29.86357739	28.76485309	28.29333331	30.05552446	29.17572359
28.81753765	30.2680347	29.80800001	28.90910461	29.53573444	29.87802925
28.00921237	30.08868243	28.36464513	28.91152142	30.47914152	29.72679115
28.59519838	30.30540018	28.46785312	28.94389851	28.826869	29.57144455
26.46681668	31.12757971	28.81734036	29.81804913	29.45056457	29.30237908
27.35360494	28.22942522	29.18640019	29.3063693	29.56963869	29.63896051
27.84551322	30.16357693	28.0950612	30.58134001	28.93635466	28.96902558
27.23272012	29.5387403	29.01150732	29.06813314	29.21290191	29.42001663
27.00432267	30.10583855	28.72727624	30.12340362	30.12636248	29.19279442
27.08980559	29.77581303	29.30332454	28.46147084	29.13991989	28.68727796
27.50751332	30.14171027	28.52404155	29.01177024	30.14164137	28.97890073
27.19743177	30.31419851	29.71367107	28.3096011	28.55008755	28.0430359
27.35050922	30.07250134	29.64235424	28.95190702	29.22076014	30.60794198
