Mulch3	Temp20	Temp60	Temp100
NO	29.47421078	27.79897765	28.15090108
NO	30.01046796	26.99708205	26.68406667
NO	29.42372501	28.6661104	27.3025135
NO	29.03978122	28.24494596	27.21181007
NO	29.04859814	28.3794642	28.11077091
NO	29.38112458	28.1418533	28.78207304
NO	29.12382587	28.16548521	28.76318898
NO	29.20246641	27.47191657	26.97332659
NO	29.04009656	28.81753765	27.23169042
NO	28.72076705	28.00921237	27.59244237
NO	28.97775637	28.59519838	26.62125677
NO	29.55218419	26.46681668	27.63023104
NO	28.68018227	27.35360494	26.67775446
NO	29.0622406	27.84551322	26.85132319
NO	29.60236077	27.23272012	27.59433842
NO	30.58620737	27.00432267	27.67789142
NO	29.48647952	27.08980559	27.73048332
NO	29.07123528	27.50751332	27.58764966
NO	29.75030767	27.19743177	28.62975607
NO	28.7005517	27.35050922	28.62517422
CK	30.24698825	29.76927929	28.64869116
CK	31.18621883	30.83977982	29.81954309
CK	31.4242624	30.53598025	29.53210966
CK	31.08388217	30.49726721	28.56245539
CK	31.94214233	29.66366505	29.54524658
CK	31.66695541	29.65711288	28.63814245
CK	30.51289956	30.74916982	28.97725161
CK	31.75405508	29.86357739	29.51539852
CK	31.66530912	30.2680347	29.05284659
CK	31.55159428	30.08868243	29.98304444
CK	31.98241691	30.30540018	30.05265172
CK	31.14383658	31.12757971	29.21455421
CK	31.16292841	28.22942522	29.25249928
CK	31.12457158	30.16357693	29.38268925
CK	30.80247528	29.5387403	30.24525461
CK	30.84700814	30.10583855	29.86593236
CK	30.61220955	29.77581303	29.80436108
CK	30.20587521	30.14171027	29.45854043
CK	31.99176683	30.31419851	29.76014303
CK	31.66202837	30.07250134	29.64510435
Q1	30.71297307	28.54817644	27.65862989
Q1	32.51369984	29.62817946	28.68330447
Q1	29.40258572	28.84952522	28.40719849
Q1	30.81581678	28.45519148	28.45155938
Q1	31.33352788	28.72832484	28.61470317
Q1	32.17187405	29.12308036	28.09666339
Q1	31.17051432	28.80476996	28.47985385
Q1	30.89108631	28.76485309	28.03907517
Q1	30.34302318	29.80800001	27.94971535
Q1	30.3420003	28.36464513	29.62474159
Q1	31.40455727	28.46785312	27.08542843
Q1	30.23615558	28.81734036	28.47481815
Q1	31.12531929	29.18640019	27.94542234
Q1	31.67005805	28.0950612	27.77525435
Q1	31.16547116	29.01150732	29.18416359
Q1	31.42772795	28.72727624	28.34273529
Q1	31.48387218	29.30332454	28.46466457
Q1	30.75848777	28.52404155	29.4091991
Q1	30.67938702	29.71367107	28.37815469
Q1	31.47688239	29.64235424	27.47270246
Q2	30.70264479	28.61926399	27.82163494
Q2	30.46103931	28.41556443	28.0332628
Q2	29.85756752	28.30930011	28.13182471
Q2	30.73529827	28.92398188	28.82298088
Q2	30.4561627	28.90988316	28.03227692
Q2	30.33519574	28.8250024	29.11027899
Q2	30.8624282	29.45522197	28.44965926
Q2	30.8501032	28.29333331	27.88670679
Q2	31.38946583	28.90910461	28.49871635
Q2	31.27463497	28.91152142	27.72522648
Q2	30.54553971	28.94389851	27.49575934
Q2	30.90853255	29.81804913	28.06001019
Q2	29.67969575	29.3063693	28.5482175
Q2	30.22485918	30.58134001	28.12339545
Q2	31.52334856	29.06813314	29.00392617
Q2	29.82436449	30.12340362	28.11542323
Q2	31.52493047	28.46147084	28.19172386
Q2	30.30112304	29.01177024	29.02294579
Q2	30.10304335	28.3096011	27.5849373
Q2	30.86341492	28.95190702	27.94936656
Q3	32.14333413	29.52474904	29.37152147
Q3	32.06054474	30.50797487	29.39742875
Q3	31.7437682	29.26113283	28.94867369
Q3	32.21811837	29.16078614	30.66421699
Q3	31.25899918	29.32523615	29.67753992
Q3	31.50481839	29.81496489	28.99375079
Q3	31.74006947	30.55958319	29.14075309
Q3	31.73216112	30.05552446	28.14748368
Q3	31.72214411	29.53573444	29.21378761
Q3	31.98299919	30.47914152	27.66188565
Q3	31.89198608	28.826869	29.44186627
Q3	31.60586959	29.45056457	30.54069909
Q3	30.99805843	29.56963869	29.82402588
Q3	32.29431209	28.93635466	29.84629571
Q3	31.10353132	29.21290191	29.71408031
Q3	32.02114468	30.12636248	28.92896765
Q3	32.11304313	29.13991989	28.57391042
Q3	32.16364708	30.14164137	28.56091011
Q3	32.56096749	28.55008755	29.00164716
Q3	32.14469778	29.22076014	29.51760046
Q4	32.61579482	29.94430091	28.7326134
Q4	31.11505917	29.8589271	29.11615519
Q4	31.75748027	29.50314305	29.70257766
Q4	31.75176338	29.99714272	28.81648581
Q4	31.31871768	28.41248943	28.63007221
Q4	32.42732392	29.75976867	29.32779335
Q4	31.31861882	29.76011188	28.02282199
Q4	30.12071332	29.17572359	29.0570852
Q4	30.57505916	29.87802925	28.12263249
Q4	32.52162692	29.72679115	29.50493237
Q4	31.73419287	29.57144455	29.26765284
Q4	30.93110938	29.30237908	29.15016246
Q4	32.15799349	29.63896051	29.92100007
Q4	30.98765115	28.96902558	29.2790857
Q4	31.13697873	29.42001663	28.6062029
Q4	31.95905992	29.19279442	29.32869175
Q4	33.00088139	28.68727796	29.44498195
Q4	31.39603543	28.97890073	28.41142973
Q4	32.73521893	28.0430359	28.54472207
Q4	31.42253768	30.60794198	28.94532462
